"","lon","lat","adr"
"Aurubis1",53.5510846,9.9936818,"Aurubis AG, Hamburg, Germany"
"Aurubis2",42.9476636,-78.8930358,"Aurubis Buffalo inc., Sayre Street, Buffalo, NY, United States"
"Aurubis3",53.5174268,10.0276315,"Aurubis, Georgswerder Bogen, Hamburg, Germany"
"Aurubis4",61.4620499,21.8558387,"Aurubis Finland Oy, Kuparitie, Pori, Finland"
"Aurubis5",42.7033735,24.177048,"Aurubis Bulgaria, Pirdop, Bulgaria"
"Carmeuse1",39.2526628,-78.0891882,"Carmeuse Lime and Stone - Winchester Operation, Quarry Lane, Clear Brook, VA, United States"
"Carmeuse2",50.4968121,5.077576,"Carmeuse S.A., Rue du Château, Seilles, Belgium"
"Carmeuse3",43.2500208,-79.8660914,"Carmeuse Lime Ltd, Hamilton, ON, Canada"
"Carmeuse4",45.6527606,25.564416,"Carmeuse Holding, Strada Carierei, Brașov, Brașov County, Romania"
"Carmeuse5",50.6719957,4.6042756,"Carmeuse Coordination Center, Boulevard de Lauzelle, Louvain-la-Neuve, Belgium"
"Forrest Group1",55.8503324,-4.27799,"Forrest Group Ltd, Seaward Street, Glasgow, United Kingdom"
"Forrest Group2",43.8334567,-79.3344805,"The Forrest Group, Alden Road, Markham, ON, Canada"
"Forrest Group3",31.5748627,-94.717877,"Forrest Group, County Road 712, Nacogdoches, TX, United States"
"Forrest Group4",29.747896,-95.467124,"Forrest Group LLC, Sage Road, Houston, TX, United States"
"Forrest Group5",33.3654791,-84.6353396,"Forrest Group Inc, Lake Park Drive, Sharpsburg, GA, United States"
"Metallo-Chimique1",51.3124431,4.8202832,"Metallo Chimique nv, Nieuwe Dreef, Beerse, Belgium"
"Metallo-Chimique2",51.31949,4.85482,"Metallo Chimique nv, Beerse, Belgium"
"Nyrstar1",36.5061279,-87.3889561,"Nyrstar Clarksville Zinc Plant, Zinc Plant Road, Clarksville, TN, United States"
"Nyrstar2",-42.841111,147.309444,"Nyrstar Hobart Smelter, Lutana, Tasmania, Australia"
"Nyrstar3",36.069878,-83.6614679,"Nyrstar Tennessee Mines, West Old Andrew Johnson Highway, Strawberry Plains, TN, United States"
