lon,lat,adr,firma,Firma-matka
51.1773286,4.8795559,"Watertorenstraat 35, 2250 Olen, Belgium",Aurubis,
50.6749027,4.6113549,"Boulevard de Lauzelle 65, 1348 Louvain-la-Neuve, Belgium",Carmeuse,
50.7293776,4.5905921,"Avenue Pasteur 9, 1300 Wavre, Belgium",Forrest Group,
51.3178309,4.8174107,"Nieuwe Dreef 33, 2340 Beerse, Belgium",Metallo-Chimique,
51.1972039,5.2304631,"Zinkstraat 1, 2490 Balen, Belgium",Nyrstar,
51.3002739,4.9407904,"Everdongenlaan 18, 2300 Turnhout, Belgium",Soudal,
50.8002192,4.9437863,"Aandorenstraat 1, 3300 Tienen, Belgium",Sugar refinery of Tienen,
50.8508813,4.3582469,"Broekstraat 31, 1000 Brussel, Belgium",Umicore,
NA,NA,NA,Union Mini?re du Haut Katanga,
50.8105775,3.2129994,"Vlamingstraat 28, 8560 Wevelgem, Belgium",Alpro,
50.8852321,4.7080498,"Brouwerijplein 1, 3000 Leuven, Belgium",Anheuser-Busch InBev,
50.9017877,4.4815462,"5, Steen-Ockerzeel, Belgium",Belgian Beer Cafe,
51.3084472,4.9158888,"Visbeekstraat 22, 2300 Turnhout, Belgium",Cartamundi,
51.188261,3.5760727,"Burg. L. Pussemierstraat 46, 9900 Eeklo, Belgium",Cavalier Chocolate,
50.8250202,4.397868,"Boulevard du Triomphe 20, 1160 Auderghem, Belgium",Colruyt,
51.2033836,4.4273553,"Lange Leemstraat 374, 2018 Antwerpen, Belgium",Confiserie Roodthooft,
50.8779757,4.328693,"Rue Léon Theodor 182, 1090 Jette, Belgium",Delhaize Group,
51.3009,4.71007,"Steenovenstraat(WE) 1/A, 2390, Belgium",Ecover,
51.2989494,4.7094929,"Antwerpsesteenweg 130, 2390 Malle, Belgium",ETAP Lighting,
50.8638176,4.3309513,"Rue de l'Armistice 5, 1081 Koekelberg, Belgium",Godiva,
51.16427,4.172158,"Europark-Oost 1, 9100 Sint-Niklaas, Belgium",Guylian,
50.5971908,5.5630987,"Avenue du Pré Aily 20, 4031 Li?ge, Belgium",Imperia Automobiles,
51.209172,4.4084968,"Mechelsesteenweg 43, 2018 Antwerpen, Belgium",Louis Delhaize Group,
51.2104408,2.9405165,"Archimedesstraat 13, 8400 Oostende, Belgium",Mutoh Europe nv,
51.046836,5.182392,"Beverlosesteenweg 85, 3583 Beringen, Belgium",Ridley,
50.8485753,4.7319342,"Greenhill Campus Interleuvenlaaan 15i, 3001 Leuven, Belgium",Septentrio,
50.49243,5.86432,"Spa, Belgium",Spa,
50.8558326,4.414349,"Avenue L. Grosjean 90, 1140 Evere, Belgium",Vanparys,
51.102899,3.755326,"John F. Kennedylaan 25, 9000 Gent, Belgium",Volvo Cars Ghent,
39.6237311,-105.0162529,"2400 W Belleview Ave, Littleton, CO 80120, United States",Ackermans & van Haaren,
50.8407485,4.366499,"Avenue des Arts 58, 1000 Bruxelles, Belgium",AG Real Estate,
50.8473951,4.3584801,"Markiesstraat 1, 1000 Brussel, Belgium",Ageas,
50.8127256,4.4361542,"Chaussée de Wavre 1945, 1160 Auderghem, Belgium",Befimmo,
50.836762,4.4115532,"Avenue de Tervueren 188, 1150 Woluwe-Saint-Pierre, Belgium",Belgian Investment Company for Developing Countries,
51.1950012,4.4070673,"Karel Oomsstraat 37, 2018 Antwerpen, Belgium",Biotech Fund Flanders,Gewestelijke Investeringsmaatschappij voor Vlaanderen 
50.8369087,4.3611385,"1050 Ixelles, Belgium",Brussels Regional Investment Company,
50.8409975,4.4362123,"Boulevard de la Woluwe 58, 1200 Bruxelles, Belgium",Cofinimmo,
50.7951142,4.4060301,"Chaussée de la Hulpe 187, 1150 Brussesl, Belgium",Effortel,
50.70319,4.55871,"Avenue des Freres Mabille, 1300 Wavre, Belgium",Fr?re-Bourgeois ,
51.1950405,4.4091926,"Karel Oomsstraat 37, 2018 Antwerpen, Belgium",GIMV,
50.8596834,4.3455167,"Avenue du Port 2, 1080 Molenbeek-Saint-Jean, Belgium",KBC Bank,
50.8073649,4.4255226,"Boulevard du Souverain 100, 1170 Bruxelles, Belgium",Keytrade Bank,
50.6379964,5.5669952,"Avenue Maurice Destenay 13, 4000 Li?ge, Belgium",Regional Investment Company of Wallonia,
50.8230535,4.3667041,"Avenue Louise 326, 1050 Bruxelles, Belgium",RHJ International,BHF Kleinwort Benson Group 
50.6381068,5.5671575,"NAAv. Maurice Destenay 13, 4000 Li?ge, Belgium",Walloon SME finance and guarantee company,
51.0129447,3.7137437,"Technologiepark-Zwijnaarde 21, 9052 Gent, Belgium",Ablynx,
50.590249,5.5560643,"Rue du Bois Saint-Jean 5, 4102, Belgium",Eurogentec,
51.0092949,3.7150859,"Technologiepark-Zwijnaarde 6, 9052 Zwijnaarde, Belgium",Innogenetics,
51.1279705,4.9616373,"Janssen Pharmaceuticalaan 3, 2440 Geel, Belgium",Janssen Pharmaceutica,Johnson & Johnson
NA,NA,"Generaal de Wittelaan 11, 2800 Mechelen, Belgium",Tibotec,Johnson & Johnson
50.8449907,4.7364935,"Romeinse straat 12, 3001 Leuven, Belgium",TiGenix,
50.6899331,4.3358141,"Chemin du Foriest 1, 1420 Braine-l'Alleud, Belgium",UCB,
51.2093561,4.4329508,"Plantin en Moretuslei 299, 2140 Antwerpen, Belgium",Vanbreda International,
50.850959,4.401741,"Auguste Reyerslaan 80, 1030 Brussel, Belgium",Agoria,
50.752508,3.640178,"1, Weverijstraat, 9600 Ronse, Belgium",Associated Weavers,
50.876322,4.715123,"Tiensevest 132, 3000 Leuven, Belgium",Aveve,
50.8998934,4.4826834,"5, Brussels National Airport Main Terminal, 1930 Zaventem, Belgium",Aviapartner,
50.8531579,3.2549043,"Noordlaan 5, 8520 Kuurne, Belgium",Barco NV,
50.8843729,3.4371645,"Holstraat 59, 8790 Waregem, Belgium",Beaulieu International Group,
50.81904,3.34026,"8550 Bekaert, Belgium",Bekaert,
50.4674892,4.4317604,"Rue du Calvaire 2, 6041 Charleroi, Belgium",Bpost,
