"lon","lat","adr","firma"
NA,NA,NA,"Aurubis"
NA,NA,NA,"Carmeuse"
NA,NA,NA,"Forrest Group"
NA,NA,NA,"Metallo-Chimique"
NA,NA,NA,"Nyrstar"
NA,NA,NA,"Soudal"
NA,NA,NA,"Sugar refinery of Tienen"
NA,NA,NA,"Umicore"
NA,NA,NA,"Union Minière du Haut Katanga"
NA,NA,NA,"Alpro"
NA,NA,NA,"Anheuser-Busch InBev"
NA,NA,NA,"Belgian Beer Cafe"
NA,NA,NA,"Cartamundi"
NA,NA,NA,"Cavalier Chocolate"
NA,NA,NA,"Colruyt"
NA,NA,NA,"Confiserie Roodthooft"
NA,NA,NA,"Delhaize Group"
NA,NA,NA,"Ecover"
NA,NA,NA,"ETAP Lighting"
NA,NA,NA,"Godiva"
NA,NA,NA,"Guylian"
NA,NA,NA,"Imperial Automobiles"
NA,NA,NA,"Louis Delhaize Group"
NA,NA,NA,"Mutoh Europe nv"
NA,NA,NA,"Ridley"
NA,NA,NA,"Septentrio"
NA,NA,NA,"Spa"
NA,NA,NA,"Vanparys"
NA,NA,NA,"Volvo Cars Ghent"
NA,NA,NA,"Ackermans & van Haaren"
NA,NA,NA,"AG Real Estate"
NA,NA,NA,"Ageas"
NA,NA,NA,"Befimmo"
NA,NA,NA,"Belgian Investment Company for Developing Countries"
NA,NA,NA,"Biotech Fund Flanders"
NA,NA,NA,"Brussels Regional Investment Company"
NA,NA,NA,"Cofinimmo"
NA,NA,NA,"Effortel"
NA,NA,NA,"Frère-Bourgeois"
NA,NA,NA,"GIMV"
NA,NA,NA,"KBC Bank"
NA,NA,NA,"Keytrade Bank"
NA,NA,NA,"Regional Investment Company of Wallonia"
NA,NA,NA,"RHJ International"
NA,NA,NA,"Walloon SME finance and guarantee company"
NA,NA,NA,"Ablynx"
NA,NA,NA,"Eurogentec"
NA,NA,NA,"Innogenetics"
NA,NA,NA,"Janssen Pharmaceutica"
NA,NA,NA,"Tibotec"
NA,NA,NA,"TiGenix"
NA,NA,NA,"UCB"
NA,NA,NA,"Vanbreda International"
NA,NA,NA,"Agoria"
NA,NA,NA,"Associated Weavers"
NA,NA,NA,"Aveve"
NA,NA,NA,"Aviapartner"
NA,NA,NA,"Barco NV"
NA,NA,NA,"Beaulieu International Group"
NA,NA,NA,"Bekaert"
NA,NA,NA,"Bpost"
NA,NA,NA,"Certipost"
NA,NA,NA,"Carat Security Group"
NA,NA,NA,"Claeys"
NA,NA,NA,"Compagnie Maritime Belge"
NA,NA,NA,"Corsio"
NA,NA,NA,"De Lijn"
NA,NA,NA,"Deceuninck"
NA,NA,NA,"DEME"
NA,NA,NA,"D'Ieteren"
NA,NA,NA,"DOMO Group"
NA,NA,NA,"East-West Group"
NA,NA,NA,"Gent Tram"
NA,NA,NA,"GEOS constructive testing"
NA,NA,NA,"Group Joos"
NA,NA,NA,"Groupe Bruxelles Lambert"
NA,NA,NA,"Jan De Nul"
NA,NA,NA,"Jonckheere"
NA,NA,NA,"Katoen Natie"
"50.9566605","3.2971961","Tieltstraat 112, 8760 Meulebeke, Belgium","Libeco-Lagae"
"50.8528664","4.7343369","Technologielaan 15, 3001 Leuven, Belgium","Materialise NV"
"50.8532972","4.3702756","Rue de la Limite 21, 1210 Bruxelles, Belgium","Namahn"
"50.363624","4.474686","Rue de la Blanche Borne 12, 6280 Gerpinnes, Belgium","NPM/CNP"
"50.5893961","4.3574058","Rue de l'Industrie 17, 1400 Nivelles, Belgium","Precision Dynamics Corporation"
"50.8817474","4.4553441","Excelsiorlaan 4, 1930 Zaventem, Belgium","Ravago"
"51.1052098","4.5422465","Oude Liersebaan 266, 2570 Duffel, Belgium","Reynaers Aluminium"
"50.5265017","3.5275126","Rue de Tournai 2, 7604 Callenelle, Belgium","Saluc"
"50.9851486","3.3357401","Seyntexlaan 1, 8700 Tielt, Belgium","Seyntex"
"50.9885306","3.2003817","Fabriekstraat 23, 8850 Ardooie, Belgium","Sioen Industries"
NA,NA,NA,"Skytech"
"50.861144","3.592288","Industriepark 'De Bruwaan' 9, 9700 Oudenaarde, Belgium","Solvay"
"52.1266031","4.6538788","Zuidpoolsingel 2, 2408 ZE Alphen aan Den Rijn, Netherlands","Teleroute"
"38.8319071","-94.8313741","16355 S Lone Elm Rd, Olathe, KS 66062, United States","Thermote & Vanhalst"
"50.8574691","4.4317607","Avenue Ariane 7, 1200 Woluwe-Saint-Lambert, Belgium","Tractebel"
"50.8406279","4.3066262","Rue de l'Expansion 82, 2600 Berchem, Belgium","Truvo"
"51.0686661","4.3123995","Rijksweg 7, 2870 Puurs, Belgium","Unibind"
"51.2094246","4.4032538","Britselei 80, 2000 Antwerpen, Belgium","USG Innotiv ICT"
"51.3054279","4.9147643","Raadsherenstraat 2, 2300 Turnhout, Belgium","Van Genechten Packaging"
"51.0992966","4.613013","Bernard van Hoolstraat 58, 2500 Koningshooikt, Belgium","Van Hool"
NA,NA,NA,"Vanden Geyhn et Van Aerschodt"
